Eremotherium laurillardi,1.05
Stenodon campbelli,1.05
Megalonyx jeffersonii,1.05
Eremotherium laurillardi,1.05
Paramylodon harlani,1.05
Pseudoprepotherium venezuelanum,3.35
Eremotherium laurillardi,3.35
Lestodon armatus,3.35
Megatherium americanum,1.05
Proscelidodon patrius,1.05
Glossotherium chapadmalense,1.05
Eremotherium laurillardi,1.05
Megatherium americanum,1.05
Glossotherium robustum,1.05
Lestodon armatus,2.6
Eremotherium laurillardi,2.6
Eremotherium laurillardi,1.05
Eremotherium laurillardi,1.05
Paramylodon harlani,1.05
Lestodon armatus,1.05
Megatherium americanum,1.05
Megatherium americanum,1.05
Megatherium americanum,1.05
Glossotherium robustum,1.05
Lestodon armatus,1.05
Eremotherium laurillardi,1.05
Eremotherium laurillardi,1.05
Megatherium americanum,1.05
Ocnopus gracilis,1.05
Eremotherium laurillardi,1.05
Megatherium americanum,1.05
Scelidotherium leptocephalum,1.05
Glossotherium robustum,1.05
Myrmecophaga tridactyla,1.05
Lestodon armatus,1.05
Megatherium americanum,1.05
Catonyx cuvieri,0.906
Eremotherium laurillardi,0.156
Catonyx cuvieri,0.156
Catonyx cuvieri,1.05
Eremotherium laurillardi,1.05
Catonyx cuvieri,1.05
Eremotherium laurillardi,1.05
Scelidotherium leptocephalum,1.05
Megatherium americanum,1.05
Eremotherium laurillardi,1.05
Scelidotherium leptocephalum,1.05
Megatherium americanum,0.06885
Kiyumylodon lecuonai,0.06885
Megalonyx jeffersonii,0.06885
Megalonyx jeffersonii,0.06885
Megalonyx jeffersonii,0.06885
Megalonyx jeffersonii,0.06885
Eremotherium laurillardi,0.06885
Eremotherium laurillardi,0.06885
Paramylodon harlani,0.06885
Megalonyx jeffersonii,0.06885
Paramylodon harlani,0.06885
Paramylodon harlani,0.06885
Megalonyx jeffersonii,0.06885
Ahytherium aureum,0.06885
Ahytherium aureum,0.06885
Eremotherium laurillardi,0.06885
Megalonyx jeffersonii,0.06885
Mylodonopsis ibseni,0.156
Megalonyx jeffersonii,0.06885
Megalonyx jeffersonii,0.156
Paramylodon harlani,0.06885
Paramylodon harlani,0.06885
Megalonyx jeffersonii,0.06885
Megalonyx jeffersonii,0.06885
Eremotherium laurillardi,0.06885
Paramylodon harlani,0.00585
Megalonyx jeffersonii,0.00585
Megatherium americanum,0.00585
Megalonyx jeffersonii,0.00585
Megalonyx jeffersonii,0.00585
Paramylodon harlani,0.00585
Megalonyx jeffersonii,0.00585
Megatherium americanum,0.00585
Megatherium americanum,0.00585
Eremotherium laurillardi,0.00585
Megalonyx leptostomus,0.00585
Paramylodon harlani,0.00585
Eremotherium eomigrans,0.00585
Megalonyx jeffersonii,0.00585
Megalonyx jeffersonii,0.00585
Megalonyx jeffersonii,0.00585
Megalonyx jeffersonii,7.6000000000000005
Glossotherium garbanii,1.05
Hiskatherium saintandrei,1.05
Lestodon armatus,1.294
Scelidotherium leptocephalum,1.05
Lestodon armatus,1.29985
Glossotherium robustum,1.29985
Pseudoglyptodon sallaensis,0.4535
Eremotherium laurillardi,1.29985
Eremotherium elenense,1.29985
Glossotherium tropicorum,1.29985
Scelidotherium reyesi,1.29985
Eremotherium laurillardi,0.3965
Glossotherium robustum,0.3965
Glossotherium robustum,13.789000000000001
Glossotherium robustum,1.29985
Glossotherium robustum,31.15
Glossotherium robustum,31.15
Glossotherium robustum,9.433
Glossotherium robustum,9.433
Glossotherium robustum,6.2895
Glossotherium robustum,6.2895
Glossotherium robustum,19.5
Glossotherium robustum,1.29985
