"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=bradypodidae&show=full"
"Access Time","Fri 2017-02-17 16:03:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","bradypodidae"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.00272"
"Records Found","239"
"Records Returned","239"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"186402","occ","","","18299","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Clarendonian","","13.6","10.3","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-103.800003","42.400002","Olcott Hill (Laucomer Member)","","Olcott Hill Quarry: UNSM Sx-71","US","Nebraska","Sioux","based on political unit","1","small collection","Olcott Hill","gp_mid","-98.74","45.23","101","US","","Snake Creek","","Laucomer","","","Snake","7","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","UNSM","","","","","","","includes material of unclear provenance that actually may be from Hesperopithecus Site, Kilpatrick Quarry, or Olcott Quarry","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"186457","occ","6019","","18304","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.400002","36.700001","Optima","","Guymon; OMNH V52; UCMP V-2902","US","Oklahoma","Texas","based on political unit","1","","Highway sand, Guymon, Texas County","gp_mid","-98.33","38.58","101","US","","Ogallala","","","","","","","","","","","Baskin 1981 says late Hemphillian","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","","some genera","","","","","","much closer to Optima than to Guymon<br>new material of Savage 1941 seems to be entirely from a later collection<br>see also Schultz 1990e","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"186459","occ","","","18305","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Clarendonian","Hemphillian","13.6","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-102.400002","41.400002","Oshkosh Quarry","","Gd-10","US","Nebraska","Garden","based on political unit","1","small collection","","gp_mid","-98.71","43.53","101","US","","Ash Hollow","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","NOT in clear superposition with any other locality<br>""Osteoborus sp."" and ""Canis davisi"" were listed by Breyer, but these  are omitted by Voorhies<br><br>not listed by Voorhies: ""Dinohippus cf. interpolatus"";  Astrohippus ansae","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"186593","occ","","","18323","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","Pliohippus Draw (The Pits)","","Quarry 5; South of Pliohippus Draw","US","Nebraska","Sioux","based on political unit","1","","East Pliohippus Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"186855","occ","","","18359","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-97.846298","42.806801","Santee","","UNSM Kx-111","US","Nebraska","Knox","stated in text","4","outcrop","NE 1/4 NW 1/4 sec 25 T33N R5W: Parmley 1992","gp_mid","-94.37","44.58","101","US","","","","","member","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","UNSM","","","","","","","FT glass date of 5.0 +/- 0.2 Ma directly overlies site\nNOT in clear superposition with any other locality\nbased on Voorhies 1988, three localities separated by at least 50 feet of section are represented","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"187107","occ","","","18415","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-99.900002","37.200001","Jack Swayze Quarry","","","US","Kansas","Clark","based on political unit","1","small collection","","gp_mid","-96.77","39.04","101","US","","Ogalalla","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","","","","some genera","","","","","","equids: Hulbert 1989 pers. commun.","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"187191","occ","","","18441","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.000000","41.099998","Uptegrove","","UNSM Cn-101","US","Nebraska","Cheyenne","based on political unit","1","small collection","NNE of Sidney","gp_mid","-99.77","43.02","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","UNSM","","","","","","","""superposition"" of this fauna above Oshkosh and Greenwood Canyon indicated by Tedford et al. 1987 Fig. 6.2 appears to be based on fission track dates and biochronology<br>there are NO legitimate small mammals from this locality; ALL such records are recent intrusives<br>bogus list of Kent 1967: ""Citellus kimballensis"" type Thomomys sp. ""Perognathus sp.""","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"187612","occ","","","18499","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","ZXBar","","Cook's Pliohippus Quarry","US","Nebraska","Sioux","based on political unit","1","small collection","East Pliohippus Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","9","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","presumably includes all material from the Upper Snake Creek of Pliohippus Draw that does NOT come from The Pits<br>specimen of Agriotherium sp. could be from the Laucomer Mbr.","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"187744","occ","","","18529","Pliometanastes protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.300003","29.100000","Dunnellon Phosphate Mining District","","","US","Florida","Marion","based on political unit","1","","","gp_mid","-79.24","30.36","109","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","","includes C. & J. Camp Blue River Mine; Cullen River Mine; Dunnellon Phosphate Company No. 6; Mutual Mine","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"187795","occ","","","18539","Pliometanastes sp.","genus","43606","","Pliometanastes","","genus","43606","early Early Hemphillian","late Early Hemphillian","10.3","4.9","MacFadden","1982","2367","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.566666","29.683332","Haile V/XIXA","","Haile 5A, 19A","US","Florida","Alachua","based on nearby landmark","minutes","small collection","""4 km northeast of Newberry, Alachua County... NE 1/4, Sec. 26, T. 9 S, R. 17 E."" (Becker 1986); coordinate based on Haile","gp_mid","-79.48","30.96","109","US","","","","","","","","","","","","","said to be Hemphillian by MacFadden 1982 and early Hemphillian by Becker 1986","""limestone quarry... Sediments are fluvial and include both 'gar-scale' and phosphatic gravels.""","""limestone""","","","","","conglomerate","phosphatic","","","","fluvial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","FLMNH","","","","","","","","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
